complaint;category
Every day in Netarhat the new transformer promised for Jamtara has still not been installed. This is affecting our daily work a lot.;Energy & Sustainability
I am a resident of Godda and there is no proper lighting on the Silli street and women feel scared to walk alone at night. Requesting you to resolve this soon.;Safety & Public Welfare
We residents of Lakhanpur want to inform you that solar street lights installed in Devgarh stopped working within a few months. This is affecting our daily work a lot.;Energy & Sustainability
I run a shop near Gumla market and people are dumping waste in the open plot near Tamar and it is attracting stray animals. Hope for quick action from your side.;Waste Management
Respected Sir/Madam, there is a strong chemical smell coming from the industrial area near Deoghar every night. Requesting you to resolve this soon.;Air & Environmental Pollution
I have been living in Shivpuri for many years and sewage water is mixing with the drinking water pipeline in Devgarh. Please send someone to test the water quality soon.;Water Quality & Sanitation
I travel through Latehar daily and during the rainy season the road near Jamshedpur gets completely waterlogged and unusable. Please help us as soon as possible.;Infrastructure & Roads
To whom it may concern, the new transformer promised for Dhanbad has still not been installed. Waiting for your response.;Energy & Sustainability
My child has been unwell and the primary health centre in Sahibganj has no doctor available most days. Hope for quick action from your side.;Public Health
To whom it may concern, the water pipeline burst 25 days ago and dirty muddy water is entering our homes. Please help us as soon as possible.;Water Quality & Sanitation
I am a student studying in Simdega and the computer lab in our school has been non functional for a long time. We have been complaining about this for a long time now.;Education
Dear Officer, the factory near Jamtara releases thick black smoke every day and it is hard to breathe. Please look into this matter urgently.;Air & Environmental Pollution
To whom it may concern, the playground equipment in Jamshedpur is broken and rusted, it is not safe for children anymore. Waiting for your response.;Safety & Public Welfare
I stay near the industrial area of Koderma and the stone crushing unit near Jamtara covers our entire area in dust every afternoon. We have been complaining about this for a long time now.;Air & Environmental Pollution
Sir, the seeds supplied by the agriculture department this season did not germinate properly. We have been complaining about this for a long time now.;Agriculture & Rural Development
Every morning in Bero waste from the nearby slaughterhouse is being dumped near Bero without any treatment. Hope for quick action from your side.;Waste Management
Sir ji, the old age home in Simdega does not have enough staff to take care of the residents.;Safety & Public Welfare
Respected Sir/Madam, the culvert near Palamu has collapsed and villagers have to take a long detour now. We have been complaining about this for a long time now.;Infrastructure & Roads
Sir ji, there has been an outbreak of dengue in Palamu and the health department has not sprayed anything. Kindly take necessary action.;Public Health
Sir, the nearest hospital from Kishanpur is very far and there is no transport during emergencies. We have been complaining about this for a long time now.;Public Health
Being a parent in Barhi, the CCTV cameras installed near Rampur market have not been working for months. Kindly repair the streetlights for the safety of women and children.;Safety & Public Welfare
Respected Authority, the borewell water in our locality has become very hard and is damaging our utensils. Please help us as soon as possible.;Water Quality & Sanitation
